AU, blendshape, value
1,Jaw_Right,2.433912E-05 
1,Jaw_Left,0.005574703 
1,Jaw_Forward,0 
1,Jaw_Open,0 
1,Mouth_Ape_Shape,0 
1,Mouth_Upper_Right,1.401298E-45 
1,Mouth_Upper_Left,0.03780114 
1,Mouth_Lower_Right,1.401298E-45 
1,Mouth_Lower_Left,0.05738496 
1,Mouth_Upper_Overturn,0 
1,Mouth_Lower_Overturn,0 
1,Mouth_Pout,0.03796167 
1,Mouth_Smile_Right,0 
1,Mouth_Smile_Left,0 
1,Mouth_Sad_Right,0.9168754 
1,Mouth_Sad_Left,0.9237865 
1,Cheek_Puff_Right,0.1783734 
1,Cheek_Puff_Left,0.2254288 
1,Cheek_Suck,0 
1,Mouth_Upper_UpRight,0 
1,Mouth_Upper_UpLeft,0 
1,Mouth_Lower_DownRight,0 
1,Mouth_Lower_DownLeft,0 
1,Mouth_Upper_Inside,0 
1,Mouth_Lower_Inside,0 
1,Mouth_Lower_Overlay,0 
1,Tongue_LongStep1,0 
1,Tongue_Left,0 
1,Tongue_Right,0 
1,Tongue_Up,0 
1,Tongue_Down,0 
1,Tongue_Roll,0 
1,Tongue_LongStep2,0 
1,Tongue_UpRight_Morph,0 
1,Tongue_UpLeft_Morph,0 
1,Tongue_DownRight_Morph,0 
1,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
2,Jaw_Right,0.02524304 
2,Jaw_Left,3.342402E-15 
2,Jaw_Forward,0 
2,Jaw_Open,1.401298E-45 
2,Mouth_Ape_Shape,0 
2,Mouth_Upper_Right,1.401298E-45 
2,Mouth_Upper_Left,0.02302195 
2,Mouth_Lower_Right,1.401298E-45 
2,Mouth_Lower_Left,0.0315927 
2,Mouth_Upper_Overturn,0 
2,Mouth_Lower_Overturn,0 
2,Mouth_Pout,0.1701481 
2,Mouth_Smile_Right,1.401298E-45 
2,Mouth_Smile_Left,0 
2,Mouth_Sad_Right,0.6760765 
2,Mouth_Sad_Left,0.7473723 
2,Cheek_Puff_Right,0.1520471 
2,Cheek_Puff_Left,0.3189342 
2,Cheek_Suck,0 
2,Mouth_Upper_UpRight,1.401298E-45 
2,Mouth_Upper_UpLeft,1.401298E-45 
2,Mouth_Lower_DownRight,1.401298E-45 
2,Mouth_Lower_DownLeft,1.401298E-45 
2,Mouth_Upper_Inside,0 
2,Mouth_Lower_Inside,0 
2,Mouth_Lower_Overlay,1.401298E-45 
2,Tongue_LongStep1,1.401298E-45 
2,Tongue_Left,0 
2,Tongue_Right,0 
2,Tongue_Up,0 
2,Tongue_Down,0 
2,Tongue_Roll,1.401298E-45 
2,Tongue_LongStep2,1.401298E-45 
2,Tongue_UpRight_Morph,0 
2,Tongue_UpLeft_Morph,0 
2,Tongue_DownRight_Morph,0 
2,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
4,Jaw_Right,0.09025969 
4,Jaw_Left,1.401298E-45 
4,Jaw_Forward,1.401298E-45 
4,Jaw_Open,1.401298E-45 
4,Mouth_Ape_Shape,1.401298E-45 
4,Mouth_Upper_Right,0.01945827 
4,Mouth_Upper_Left,6.222356E-23 
4,Mouth_Lower_Right,0.03364442 
4,Mouth_Lower_Left,5.021503E-23 
4,Mouth_Upper_Overturn,1.401298E-45 
4,Mouth_Lower_Overturn,1.401298E-45 
4,Mouth_Pout,0.2612222 
4,Mouth_Smile_Right,1.401298E-45 
4,Mouth_Smile_Left,1.401298E-45 
4,Mouth_Sad_Right,0.760031 
4,Mouth_Sad_Left,0.7642854 
4,Cheek_Puff_Right,0.152139 
4,Cheek_Puff_Left,0.3206768 
4,Cheek_Suck,0 
4,Mouth_Upper_UpRight,1.401298E-45 
4,Mouth_Upper_UpLeft,1.401298E-45 
4,Mouth_Lower_DownRight,1.401298E-45 
4,Mouth_Lower_DownLeft,1.401298E-45 
4,Mouth_Upper_Inside,0 
4,Mouth_Lower_Inside,1.401298E-45 
4,Mouth_Lower_Overlay,1.401298E-45 
4,Tongue_LongStep1,1.401298E-45 
4,Tongue_Left,1.401298E-45 
4,Tongue_Right,0 
4,Tongue_Up,1.401298E-45 
4,Tongue_Down,1.401298E-45 
4,Tongue_Roll,1.401298E-45 
4,Tongue_LongStep2,1.401298E-45 
4,Tongue_UpRight_Morph,0 
4,Tongue_UpLeft_Morph,0 
4,Tongue_DownRight_Morph,0 
4,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
5,Jaw_Right,0.0248457 
5,Jaw_Left,1.401298E-45 
5,Jaw_Forward,0 
5,Jaw_Open,1.401298E-45 
5,Mouth_Ape_Shape,1.401298E-45 
5,Mouth_Upper_Right,1.401298E-45 
5,Mouth_Upper_Left,0.04098414 
5,Mouth_Lower_Right,1.401298E-45 
5,Mouth_Lower_Left,0.05442379 
5,Mouth_Upper_Overturn,0 
5,Mouth_Lower_Overturn,0 
5,Mouth_Pout,0.3030455 
5,Mouth_Smile_Right,1.401298E-45 
5,Mouth_Smile_Left,0 
5,Mouth_Sad_Right,0.751121 
5,Mouth_Sad_Left,0.7845611 
5,Cheek_Puff_Right,0.4319162 
5,Cheek_Puff_Left,0.5991767 
5,Cheek_Suck,0 
5,Mouth_Upper_UpRight,1.401298E-45 
5,Mouth_Upper_UpLeft,1.401298E-45 
5,Mouth_Lower_DownRight,1.401298E-45 
5,Mouth_Lower_DownLeft,1.401298E-45 
5,Mouth_Upper_Inside,0 
5,Mouth_Lower_Inside,0 
5,Mouth_Lower_Overlay,0 
5,Tongue_LongStep1,0 
5,Tongue_Left,1.401298E-45 
5,Tongue_Right,0 
5,Tongue_Up,0 
5,Tongue_Down,0 
5,Tongue_Roll,0 
5,Tongue_LongStep2,0 
5,Tongue_UpRight_Morph,0 
5,Tongue_UpLeft_Morph,0 
5,Tongue_DownRight_Morph,0 
5,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
6,Jaw_Right,1.195992E-07 
6,Jaw_Left,0.018484 
6,Jaw_Forward,1.401298E-45 
6,Jaw_Open,1.401298E-45 
6,Mouth_Ape_Shape,1.401298E-45 
6,Mouth_Upper_Right,1.401298E-45 
6,Mouth_Upper_Left,0.223589 
6,Mouth_Lower_Right,1.401298E-45 
6,Mouth_Lower_Left,0.2611735 
6,Mouth_Upper_Overturn,1.401298E-45 
6,Mouth_Lower_Overturn,1.401298E-45 
6,Mouth_Pout,1.401298E-45 
6,Mouth_Smile_Right,1.401298E-45 
6,Mouth_Smile_Left,0.1281658 
6,Mouth_Sad_Right,0.6580845 
6,Mouth_Sad_Left,0.7395581 
6,Cheek_Puff_Right,4.624285E-44 
6,Cheek_Puff_Left,1.401298E-45 
6,Cheek_Suck,0 
6,Mouth_Upper_UpRight,1.401298E-45 
6,Mouth_Upper_UpLeft,1.401298E-45 
6,Mouth_Lower_DownRight,1.401298E-45 
6,Mouth_Lower_DownLeft,1.401298E-45 
6,Mouth_Upper_Inside,0 
6,Mouth_Lower_Inside,0 
6,Mouth_Lower_Overlay,1.401298E-45 
6,Tongue_LongStep1,1.401298E-45 
6,Tongue_Left,1.401298E-45 
6,Tongue_Right,0 
6,Tongue_Up,0 
6,Tongue_Down,0 
6,Tongue_Roll,1.401298E-45 
6,Tongue_LongStep2,1.401298E-45 
6,Tongue_UpRight_Morph,0 
6,Tongue_UpLeft_Morph,0 
6,Tongue_DownRight_Morph,0 
6,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
7,Jaw_Right,7.909411E-07 
7,Jaw_Left,0.01147464 
7,Jaw_Forward,0 
7,Jaw_Open,1.401298E-45 
7,Mouth_Ape_Shape,0 
7,Mouth_Upper_Right,1.401298E-45 
7,Mouth_Upper_Left,0.02086126 
7,Mouth_Lower_Right,1.401298E-45 
7,Mouth_Lower_Left,0.04209123 
7,Mouth_Upper_Overturn,1.401298E-45 
7,Mouth_Lower_Overturn,1.401298E-45 
7,Mouth_Pout,0.2134038 
7,Mouth_Smile_Right,1.401298E-45 
7,Mouth_Smile_Left,1.401298E-45 
7,Mouth_Sad_Right,0.6232386 
7,Mouth_Sad_Left,0.6697445 
7,Cheek_Puff_Right,0.3248548 
7,Cheek_Puff_Left,0.4843452 
7,Cheek_Suck,0 
7,Mouth_Upper_UpRight,1.401298E-45 
7,Mouth_Upper_UpLeft,1.401298E-45 
7,Mouth_Lower_DownRight,1.401298E-45 
7,Mouth_Lower_DownLeft,1.401298E-45 
7,Mouth_Upper_Inside,0 
7,Mouth_Lower_Inside,1.401298E-45 
7,Mouth_Lower_Overlay,0 
7,Tongue_LongStep1,1.401298E-45 
7,Tongue_Left,0 
7,Tongue_Right,0 
7,Tongue_Up,0 
7,Tongue_Down,1.401298E-45 
7,Tongue_Roll,1.401298E-45 
7,Tongue_LongStep2,0 
7,Tongue_UpRight_Morph,0 
7,Tongue_UpLeft_Morph,0 
7,Tongue_DownRight_Morph,0 
7,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
9,Jaw_Right,1.401298E-45 
9,Jaw_Left,0.06649197 
9,Jaw_Forward,0 
9,Jaw_Open,6.486205E-24 
9,Mouth_Ape_Shape,0 
9,Mouth_Upper_Right,0.0001394721 
9,Mouth_Upper_Left,0.00602429 
9,Mouth_Lower_Right,1.776093E-32 
9,Mouth_Lower_Left,0.04662687 
9,Mouth_Upper_Overturn,0 
9,Mouth_Lower_Overturn,0 
9,Mouth_Pout,0.003166824 
9,Mouth_Smile_Right,0 
9,Mouth_Smile_Left,0 
9,Mouth_Sad_Right,0.4166957 
9,Mouth_Sad_Left,0.4951224 
9,Cheek_Puff_Right,0.4501655 
9,Cheek_Puff_Left,0.7063491 
9,Cheek_Suck,0 
9,Mouth_Upper_UpRight,0 
9,Mouth_Upper_UpLeft,0 
9,Mouth_Lower_DownRight,0 
9,Mouth_Lower_DownLeft,0 
9,Mouth_Upper_Inside,0 
9,Mouth_Lower_Inside,0 
9,Mouth_Lower_Overlay,0.005058123 
9,Tongue_LongStep1,0 
9,Tongue_Left,0 
9,Tongue_Right,0 
9,Tongue_Up,0 
9,Tongue_Down,0 
9,Tongue_Roll,0 
9,Tongue_LongStep2,0 
9,Tongue_UpRight_Morph,0 
9,Tongue_UpLeft_Morph,0 
9,Tongue_DownRight_Morph,0 
9,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
10,Jaw_Right,1.401298E-45 
10,Jaw_Left,0.1000849 
10,Jaw_Forward,0 
10,Jaw_Open,0.4247642 
10,Mouth_Ape_Shape,0 
10,Mouth_Upper_Right,1.401298E-45 
10,Mouth_Upper_Left,0.1484916 
10,Mouth_Lower_Right,1.401298E-45 
10,Mouth_Lower_Left,0.1966026 
10,Mouth_Upper_Overturn,0 
10,Mouth_Lower_Overturn,0 
10,Mouth_Pout,0.0255613 
10,Mouth_Smile_Right,1.401298E-45 
10,Mouth_Smile_Left,4.83448E-43 
10,Mouth_Sad_Right,0.2374219 
10,Mouth_Sad_Left,0.4414976 
10,Cheek_Puff_Right,1.401298E-45 
10,Cheek_Puff_Left,1.401298E-45 
10,Cheek_Suck,0 
10,Mouth_Upper_UpRight,0.4806818 
10,Mouth_Upper_UpLeft,0.4981053 
10,Mouth_Lower_DownRight,7.497647E-41 
10,Mouth_Lower_DownLeft,0.01010272 
10,Mouth_Upper_Inside,1.401298E-45 
10,Mouth_Lower_Inside,2.379883E-17 
10,Mouth_Lower_Overlay,1.401298E-45 
10,Tongue_LongStep1,0.07518241 
10,Tongue_Left,0 
10,Tongue_Right,0 
10,Tongue_Up,0 
10,Tongue_Down,0 
10,Tongue_Roll,7.468921E-43 
10,Tongue_LongStep2,1.401298E-45 
10,Tongue_UpRight_Morph,0 
10,Tongue_UpLeft_Morph,0 
10,Tongue_DownRight_Morph,0 
10,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
12,Jaw_Right,2.599053E-20 
12,Jaw_Left,0.03066087 
12,Jaw_Forward,0 
12,Jaw_Open,0.1033649 
12,Mouth_Ape_Shape,1.401298E-45 
12,Mouth_Upper_Right,1.10805E-22 
12,Mouth_Upper_Left,0.02557453 
12,Mouth_Lower_Right,1.401298E-45 
12,Mouth_Lower_Left,0.0463409 
12,Mouth_Upper_Overturn,1.401298E-45 
12,Mouth_Lower_Overturn,1.401298E-45 
12,Mouth_Pout,1.401298E-45 
12,Mouth_Smile_Right,0.7810211 
12,Mouth_Smile_Left,0.8549544 
12,Mouth_Sad_Right,0.2130254 
12,Mouth_Sad_Left,0.2487022 
12,Cheek_Puff_Right,1.401298E-45 
12,Cheek_Puff_Left,9.289208E-42 
12,Cheek_Suck,0 
12,Mouth_Upper_UpRight,1.401298E-45 
12,Mouth_Upper_UpLeft,1.401298E-45 
12,Mouth_Lower_DownRight,1.401298E-45 
