Emotion,Blendshape,value
Happy,Eye_Left_Blink,0 
Happy,Eye_Left_Wide,0.2417089 
Happy,Eye_Left_Right,0.07454479 
Happy,Eye_Left_Left,0 
Happy,Eye_Left_Up,0.2417089 
Happy,Eye_Left_Down,0 
Happy,Eye_Right_Blink,0 
Happy,Eye_Right_Wide,0.2417089 
Happy,Eye_Right_Right,0.07454479 
Happy,Eye_Right_Left,0 
Happy,Eye_Right_Up,0.2417089 
Happy,Eye_Right_Down,0 
Happy,Eye_Frown,0 
Happy,Eye_Left_Squeeze,0 
Happy,Eye_Right_Squeeze,0 
Happy,Max,0 
Happy,None,0 
Sad,Eye_Left_Blink,0 
Sad,Eye_Left_Wide,0.2736735 
Sad,Eye_Left_Right,0.07417399 
Sad,Eye_Left_Left,0 
Sad,Eye_Left_Up,0.2736735 
Sad,Eye_Left_Down,0 
Sad,Eye_Right_Blink,0 
Sad,Eye_Right_Wide,0.2736735 
Sad,Eye_Right_Right,0.07417399 
Sad,Eye_Right_Left,0 
Sad,Eye_Right_Up,0.2736735 
Sad,Eye_Right_Down,0 
Sad,Eye_Frown,0 
Sad,Eye_Left_Squeeze,0 
Sad,Eye_Right_Squeeze,0 
Sad,Max,0 
Sad,None,0 
Angry,Eye_Left_Blink,0 
Angry,Eye_Left_Wide,0.1529015 
Angry,Eye_Left_Right,0.01958978 
Angry,Eye_Left_Left,0.02309483 
Angry,Eye_Left_Up,0.1529015 
Angry,Eye_Left_Down,0 
Angry,Eye_Right_Blink,0 
Angry,Eye_Right_Wide,0.1529015 
Angry,Eye_Right_Right,0.01958978 
Angry,Eye_Right_Left,0.02309483 
Angry,Eye_Right_Up,0.1529015 
Angry,Eye_Right_Down,0 
Angry,Eye_Frown,0 
Angry,Eye_Left_Squeeze,0 
Angry,Eye_Right_Squeeze,0 
Angry,Max,0 
Angry,None,0 
Fear,Eye_Left_Blink,0 
Fear,Eye_Left_Wide,0.6308538 
Fear,Eye_Left_Right,0.05535251 
Fear,Eye_Left_Left,0 
Fear,Eye_Left_Up,0.6308538 
Fear,Eye_Left_Down,0.02643794 
Fear,Eye_Right_Blink,0 
Fear,Eye_Right_Wide,0.6308538 
Fear,Eye_Right_Right,0.05535251 
Fear,Eye_Right_Left,0 
Fear,Eye_Right_Up,0.6308538 
Fear,Eye_Right_Down,0.02643794 
Fear,Eye_Frown,0 
Fear,Eye_Left_Squeeze,0 
Fear,Eye_Right_Squeeze,0 
Fear,Max,0 
Fear,None,0 
Disgust,Eye_Left_Blink,0.349296 
Disgust,Eye_Left_Wide,0 
Disgust,Eye_Left_Right,0.05481464 
Disgust,Eye_Left_Left,0.001085371 
Disgust,Eye_Left_Up,0 
Disgust,Eye_Left_Down,0 
Disgust,Eye_Right_Blink,0 
Disgust,Eye_Right_Wide,0.08464618 
Disgust,Eye_Right_Right,0.05481464 
Disgust,Eye_Right_Left,0.001085371 
Disgust,Eye_Right_Up,0.08464618 
Disgust,Eye_Right_Down,0 
Disgust,Eye_Frown,0 
Disgust,Eye_Left_Squeeze,0 
Disgust,Eye_Right_Squeeze,0 
Disgust,Max,0 
Disgust,None,0 
Surprise,Eye_Left_Blink,0 
Surprise,Eye_Left_Wide,0.7339894 
Surprise,Eye_Left_Right,0.03739077 
Surprise,Eye_Left_Left,0.0226748 
Surprise,Eye_Left_Up,0.7339894 
Surprise,Eye_Left_Down,0.03992095 
Surprise,Eye_Right_Blink,0 
Surprise,Eye_Right_Wide,0.7339894 
Surprise,Eye_Right_Right,0.03739077 
Surprise,Eye_Right_Left,0.0226748 
Surprise,Eye_Right_Up,0.7339894 
Surprise,Eye_Right_Down,0.03992095 
Surprise,Eye_Frown,0 
Surprise,Eye_Left_Squeeze,0 
Surprise,Eye_Right_Squeeze,0 
Surprise,Max,0 
Surprise,None,0 
