Emotion,Blendshape,value
Happy,Jaw_Right,1.401298E-45 
Happy,Jaw_Left,0.02897105 
Happy,Jaw_Forward,0 
Happy,Jaw_Open,1.401298E-45 
Happy,Mouth_Ape_Shape,0 
Happy,Mouth_Upper_Right,0 
Happy,Mouth_Upper_Left,0.1088802 
Happy,Mouth_Lower_Right,0 
Happy,Mouth_Lower_Left,0.1325257 
Happy,Mouth_Upper_Overturn,0 
Happy,Mouth_Lower_Overturn,0 
Happy,Mouth_Pout,1.401298E-45 
Happy,Mouth_Smile_Right,0.6960972 
Happy,Mouth_Smile_Left,0.7429754 
Happy,Mouth_Sad_Right,0.3164437 
Happy,Mouth_Sad_Left,0.3772088 
Happy,Cheek_Puff_Right,1.401298E-45 
Happy,Cheek_Puff_Left,1.401298E-45 
Happy,Cheek_Suck,0 
Happy,Mouth_Upper_UpRight,1.401298E-45 
Happy,Mouth_Upper_UpLeft,1.401298E-45 
Happy,Mouth_Lower_DownRight,1.401298E-45 
Happy,Mouth_Lower_DownLeft,1.401298E-45 
Happy,Mouth_Upper_Inside,0 
Happy,Mouth_Lower_Inside,0 
Happy,Mouth_Lower_Overlay,0 
Happy,Tongue_LongStep1,1.401298E-45 
Happy,Tongue_Left,0 
Happy,Tongue_Right,0 
Happy,Tongue_Up,1.401298E-45 
Happy,Tongue_Down,0 
Happy,Tongue_Roll,1.401298E-45 
Happy,Tongue_LongStep2,1.401298E-45 
Happy,Tongue_UpRight_Morph,0 
Happy,Tongue_UpLeft_Morph,0 
Happy,Tongue_DownRight_Morph,0 
Happy,Tongue_DownLeft_Morph,0 
Sad,Jaw_Right,1.107294E-15 
Sad,Jaw_Left,0.03248401 
Sad,Jaw_Forward,0 
Sad,Jaw_Open,0.05202908 
Sad,Mouth_Ape_Shape,0 
Sad,Mouth_Upper_Right,0.0168519 
Sad,Mouth_Upper_Left,1.401298E-45 
Sad,Mouth_Lower_Right,0.02871316 
Sad,Mouth_Lower_Left,1.401298E-45 
Sad,Mouth_Upper_Overturn,0 
Sad,Mouth_Lower_Overturn,0 
Sad,Mouth_Pout,0.01438975 
Sad,Mouth_Smile_Right,1.401298E-45 
Sad,Mouth_Smile_Left,1.401298E-45 
Sad,Mouth_Sad_Right,0.7663693 
Sad,Mouth_Sad_Left,0.7735314 
Sad,Cheek_Puff_Right,1.401298E-45 
Sad,Cheek_Puff_Left,9.881536E-41 
Sad,Cheek_Suck,0 
Sad,Mouth_Upper_UpRight,1.401298E-45 
Sad,Mouth_Upper_UpLeft,1.401298E-45 
Sad,Mouth_Lower_DownRight,1.401298E-45 
Sad,Mouth_Lower_DownLeft,1.401298E-45 
Sad,Mouth_Upper_Inside,0 
Sad,Mouth_Lower_Inside,5.179407E-31 
Sad,Mouth_Lower_Overlay,1.401298E-45 
Sad,Tongue_LongStep1,2.658277E-09 
Sad,Tongue_Left,0 
Sad,Tongue_Right,0 
Sad,Tongue_Up,1.401298E-45 
Sad,Tongue_Down,1.401298E-45 
Sad,Tongue_Roll,1.401298E-45 
Sad,Tongue_LongStep2,1.401298E-45 
Sad,Tongue_UpRight_Morph,0 
Sad,Tongue_UpLeft_Morph,0 
Sad,Tongue_DownRight_Morph,0 
Sad,Tongue_DownLeft_Morph,0 
Angry,Jaw_Right,1.401298E-45 
Angry,Jaw_Left,0.09065005 
Angry,Jaw_Forward,0 
Angry,Jaw_Open,1.401298E-45 
Angry,Mouth_Ape_Shape,1.401298E-45 
Angry,Mouth_Upper_Right,1.401298E-45 
Angry,Mouth_Upper_Left,0.1321043 
Angry,Mouth_Lower_Right,1.401298E-45 
Angry,Mouth_Lower_Left,0.1910908 
Angry,Mouth_Upper_Overturn,0 
Angry,Mouth_Lower_Overturn,0 
Angry,Mouth_Pout,0.606163 
Angry,Mouth_Smile_Right,1.401298E-45 
Angry,Mouth_Smile_Left,1.401298E-45 
Angry,Mouth_Sad_Right,0.4499516 
Angry,Mouth_Sad_Left,0.5844105 
Angry,Cheek_Puff_Right,0.3411913 
Angry,Cheek_Puff_Left,0.4359744 
Angry,Cheek_Suck,0 
Angry,Mouth_Upper_UpRight,1.401298E-45 
Angry,Mouth_Upper_UpLeft,1.401298E-45 
Angry,Mouth_Lower_DownRight,1.401298E-45 
Angry,Mouth_Lower_DownLeft,1.401298E-45 
Angry,Mouth_Upper_Inside,1.401298E-45 
Angry,Mouth_Lower_Inside,1.401298E-45 
Angry,Mouth_Lower_Overlay,1.401298E-45 
Angry,Tongue_LongStep1,1.401298E-45 
Angry,Tongue_Left,1.401298E-45 
Angry,Tongue_Right,1.401298E-45 
Angry,Tongue_Up,1.401298E-45 
Angry,Tongue_Down,1.401298E-45 
Angry,Tongue_Roll,1.401298E-45 
Angry,Tongue_LongStep2,1.401298E-45 
Angry,Tongue_UpRight_Morph,0 
Angry,Tongue_UpLeft_Morph,0 
Angry,Tongue_DownRight_Morph,0 
Angry,Tongue_DownLeft_Morph,0 
Fear,Jaw_Right,0.07304956 
Fear,Jaw_Left,1.303577E-30 
Fear,Jaw_Forward,0 
Fear,Jaw_Open,0.8985555 
Fear,Mouth_Ape_Shape,1.401298E-45 
Fear,Mouth_Upper_Right,0.1056575 
Fear,Mouth_Upper_Left,1.401298E-45 
Fear,Mouth_Lower_Right,0.1535343 
Fear,Mouth_Lower_Left,1.401298E-45 
Fear,Mouth_Upper_Overturn,1.401298E-45 
Fear,Mouth_Lower_Overturn,1.401298E-45 
Fear,Mouth_Pout,1.401298E-45 
Fear,Mouth_Smile_Right,0.4355194 
Fear,Mouth_Smile_Left,0.4446768 
Fear,Mouth_Sad_Right,1.401298E-45 
Fear,Mouth_Sad_Left,1.401298E-45 
Fear,Cheek_Puff_Right,1.401298E-45 
Fear,Cheek_Puff_Left,1.401298E-45 
Fear,Cheek_Suck,0 
Fear,Mouth_Upper_UpRight,0.1225995 
